text,language,split
Roissy-en-France est une commune française située dans le département du Val-d'Oise en région Île-de-France. Les habitants sont appelés les Roisséens et les Roisséennes.,fra,train
"Joan Aiken, née le 4 septembre 1924 à Rye dans le comté du Sussex de l'Est en Angleterre et morte le 4 janvier 2004 à Petworth dans le comté du Sussex de l'Ouest, est une écrivaine anglaise célèbre pour ses nombreux écrits pour l'enfance et la jeunesse. Elle est la fille du poète américain Conrad Aiken et a comme sœur la romancière Jane Aiken Hodge (en).",fra,train
"Ubicado al sudeste del lago Huechulafquen, sus costas no están recorridas por camino alguno. Está completamente inserto en el Parque Nacional Lanín, de modo que es una de las regiones cuya ecología está mejor conservada en toda la provincia.",spa,train
"Notice historique sur Naigeon (Jean), membre de la Legion-d'Honneur, peintre d'histoire, ancien conservateur du Musée du Luxembourg, Paris, 1848 ; p. 7 Texte",fra,train
"Minnesota's state parks are spread across the state in such a way that there is a state park within 50 miles (80 km) of every Minnesotan. The most recent park created is Lake Vermilion State Park, created in 2010. Currently the Parks range in size from Franz Jevne State Park with 118 acres (48 ha) to Saint Croix State Park with 34,037 acres (13,774 ha). Two parks include resources listed as National Natural Landmarks (Big Bog State Recreation Area and Itasca State Park) and six parks encompass National Historic Landmarks (Charles A. Lindbergh, Fort Snelling, Mille Lacs Kathio, St. Croix, Soudan Underground Mine, and Split Rock Lighthouse State Parks). 52 sites or districts across 34 Minnesota state parks are on the National Register of Historic Places (NRHP), including 22 parks with developments constructed by New Deal-era job creation programs in the 1930s.",eng,train
"William Thurston a raffiné cette analyse en classifiant les éléments du mapping class group (en) en trois types : ceux équivalents à un difféomorphisme périodique, ceux équivalents à un difféomorphisme laissant invariante une courbe fermée simple, et ceux équivalents à un difféomorphisme pseudo-Anosov (en). Dans le cas du tore S1×S1 = ℝ2/ℤ2, le mapping class group est simplement le groupe modulaire SL(2, ℤ) et la classification se ramène à celle des transformations de Möbius elliptiques, paraboliques et loxodromiques. Thurston réalisa cette classification en remarquant que le mapping class group agissait naturellement sur une compactification de l'espace de Teichmüller (en) ; sur cet espace ainsi agrandi, homéomorphe à une boule fermée, le théorème du point fixe de Brouwer pouvait s'appliquer.",fra,train
"Al día siguiente, Britney llega a la audición de Rihanna para disculparse con Camille, Kirresha y Letty. Cuando Winnie y su equipo llegan a insultar a los Warriors, Britney hace frente a los comentarios racistas y es admitida en los Warriors de nuevo justo antes de entrar a la audición. Durante la competencia, tanto los Piratas como los Warriors quedan finalistas; Camille se muestra preocupada ya que los Piratas son excelentes gimnastas y empiezan a ganar el agrado de la audiencia y los jueces, pero a Britney se le ocurre ejecutar un baile callejero que ella y sus compañeros habían practicado meses atrás pero descartaron porque algunos de los movimientos son motivo de penalización en la calificación de rutinas. Interrumpen la porra de los Piratas y hacen una presentación que gana la competencia. Winnie, furiosa, insulta a los Warriors y a su raza latina y negra, sin embargo Rihanna premia al equipo de los Warriors por su originalidad y Winnie es abucheada. Britney y Jesse se reconcilian. En la secuencia final se ve un vídeo musical de Rihanna, cantando Pon de Replay mientras Britney y su equipo bailan.",spa,train
"Une fois le poste libre identifié, La Direction des Ressources Humaines (DRH) doit fournir une description du poste ainsi que les critères de l'emploi à remplir pour l'obtention du poste en question. De cette façon, les candidats sont informés des tâches à accomplir en plus des compétences requises afin d'exécuter les tâches. On peut entre autres se référer aux demandes spécifiques des responsables opérationnels afin d'assurer une adéquation optimale.",fra,train
"Erik Komatsu est d'abord drafté par les Yankees de New York, qui le choisissent au 38e tour de sélection en 2007, mais il ne signe pas avec l'équipe. Il signe cependant avec les Brewers de Milwaukee, qui en font leur choix de 8e ronde en 2008 alors qu'il évolue à l'Université d'État de Californie à Fullerton.",fra,train
"The total high school population was now approaching 2,400. The same committee which concluded that physical additions were needed also recommended a new organizational plan to prevent students from feeling depersonalized in such a large system. What grew out of this was the House Plan, which, in 1970, divided Columbia into four sub-schools of approximately 600 students each. The goal was to provide the intimacy of a small school within a large plant, and each of the houses had, for example, its own student council, intramural athletic teams, and newspapers. All of these were in addition to the traditional school-wide activities.",eng,train
"Mientras el año escolar termina, la madre de Hanna regresa con su familia y Hanna encuentra una nueva manera de expresarse usando una cámara de video que le dio su maestra",spa,train
"Plus tard, la comédie italienne reprit à la France, en le perfectionnant, ce que celle-ci lui avait emprunté, et les pièces de Molière passèrent pour la plupart, réduites à leur canevas, dans le répertoire mobile de la commedia dell’arte.",fra,train
"Otra costumbre en ciertas naciones islámicas,[86]​[87]​ como Pakistán, es el watta satta, donde un par de hermanos (niño y niña) de una misma familia se intercambian como futuros cónyuges de un par de hermanos de otra familia. En otras palabras, la mujer es también la hermana política para los hombres en dos familias. Esta costumbre lleva inherente la forma del matrimonio arreglado. Alrededor del 30% de todos los matrimonios en las regiones rurales del oeste de Pakistán son matrimonios por encargo watta-satta, y el 75% de estos matrimonios musulmanes son entre primos y otros parientes de sangre.[88]​[89]​[90]​ Algunas familias inmigrantes prefieren la práctica habitual de matrimonio arreglado.[91]​",spa,train
"Una adaptación a anime con animación hecha por Lerche se emitió desde el 1 de octubre al 17 de diciembre de 2016 y transmitido simultáneamente por Crunchyroll. Tiene ilustraciones originales por Maruino, es dirigido por Hiroyuki Hashimoto y el guion fue hecho por Takao Yoshioka. El opening es ""Sakebe"" (叫べ, lit. ""Grita"") interpretado por Manami Numakura[22]​ y el ending es ""DREAMCATCHER"" interpretado por Nano.",spa,train
